DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2026-0253-GNB,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:FR-2026-000055,'Tucunde' Fire,GNB,Guinea-Bissau,Sub-Saharan Africa,Africa,Bolama/Bijago,,,No,No,No,,,Km2,,,,2026,3,24,2026,3,24,,,2051,,2051,,,,,,,,,,2026-04-14,2026-07-24
2025-1054-CHL,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2026-000003,,CHL,Chile,Latin America and the Caribbean,Americas,"Valparaíso, Santiago Metropolitan, O’Higgins, Maule; Ránquil, San Nicolás, Coelemu, San Fabián, Quillón, and El Carmen (Ñuble); Concepción, Penco, Tomé, Santa Juana, Coronel, Florida, and Laja (Biobío), Los Lagos, Los Rios, Magallanes, Araucanía, Aysén regions",High temperatures and strong winds,,No,No,Yes,,,Km2,,,,2025,12,14,2026,1,28,23,333,21700,,22033,,,,,400000,400000,100,,,2025-12-18,2026-07-30
2026-0018-AUS,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,AUS,Australia,Australia and New Zealand,Oceania,Victoria (New South Wales),Warm temperatures and powerful winds,Heat wave,No,No,Yes,,,Km2,,,,2026,1,6,2026,1,28,1,,780,,780,,,600000,,1000000,,,,,2026-01-09,2026-07-30
2026-0467-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,"Le Porge, Le Temple, Saumos, Lège Cap Ferret, Marcheprime, Cestas, Saint-Jean-d’Illac, and Martignas (Gironde)","Heatwaves, strong winds, and drought-stressed vegetation",,No,No,No,,,Km2,,,,2026,7,22,2026,7,30,,126,2040,720,2886,,,,,,,,,,2026-07-23,2026-07-31
2023-0534-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Gray fire and the Oregon fire,USA,United States of America,Northern America,Americas,Spokane County (eastern Washington State),,,No,No,No,,,Km2,,,,2023,8,,2023,8,22,2,1,720,81,802,,,,,1090000,1151677,94.64462201,,,2023-08-23,2026-08-07
2026-0427-DZA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2026-000138,,DZA,Algeria,Northern Africa,Africa,"Annaba, Souk Ahras, Skikda, Guelma, Bouira, Médéa, Mila, Mascara, El Tarf, Jijel, Sétif, Béjaïa, Tlemcen, Saïda, Tissemsilt, Biskra and Chlef.",,,No,No,No,,,Km2,,,,2026,7,8,2026,7,22,6,,10000,,10000,,,,,,,,,,2026-07-16,2026-08-05
2025-0652-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,"Ribaute (Aude department,)","Winds gusting to 60-70 km/h (37-43 mph), temperatures above 32 ° C and relative humidity below 25%.",,No,No,No,,,Km2,,,,2025,8,5,2025,8,9,1,25,,108,133,,,,,,,100,,,2025-08-06,2026-08-26
2025-0459-ESP,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,ESP,Spain,Southern Europe,Europe,"Torrefeta i Florejacs, Vilanova de l'Aguda, Calabona, Olliola and Agramunt municipalities (Lleida province)",,Heat wave,No,No,No,,,Km2,,,,2025,7,1,2025,7,2,2,1,14000,,14001,,,,,,,100,,,2025-07-03,2026-08-26
2025-0477-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Rowena' fire,USA,United States of America,Northern America,Americas,Wasco County (Oregon),,,No,No,No,,,Km2,,,,2025,6,11,2025,6,20,,2,,168,170,,,,,10000,10000,100,,"[{""gid_2"":""USA.38.33_1"",""name_2"":""Wasco""}]",2025-07-07,2026-08-28
2025-0508-ESP,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ESP,Spain,Southern Europe,Europe,"Paüls municipality (Baix Ebre comarca, Tarragona province, Catalonia)",,,No,No,No,,,Km2,,,,2025,7,7,2025,7,9,1,4,18000,,18004,,,,,,,100,,,2025-07-10,2026-08-26
